SA5698PO,retail,110,tienda-C,casa-C,1,17-10-2020 03:09:26
SA5897AS,retail,95,tienda-A,casa-D,1,17-10-2020 03:09:26
SA5713AS,retail,20,tienda-B,casa-C,1,17-10-2020 03:09:27
SA2589TR,retail,5,tienda-C,casa-P,1,17-10-2020 03:09:27
SA3698HJ,retail,25,tienda-C,casa-A,2,17-10-2020 03:09:28
SA2563AS,retail,15,tienda-A,casa-N,1,17-10-2020 03:09:28
SA6947GH,retail,50,tienda-C,casa-C,1,17-10-2020 03:09:29
SA5588HJ,retail,25,tienda-C,casa-E,1,17-10-2020 03:09:29
SA7748JK,retail,115,tienda-B,casa-A,1,17-10-2020 03:09:31
SA2596NH,retail,90,tienda-A,casa-S,1,17-10-2020 03:09:31
CC147,prioritario,14,pyme,casa-C,2,17-10-2020 03:09:32
CC175,prioritario,6,pyme,casa-A,1,17-10-2020 03:09:32
